time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007081,-0.0005,-0.0003,-0.0027,0.003
0.043319,-0.0003,0.0003,0.0021,0.002
0.044110,-0.0005,-0.0004,-0.0075,0.008
0.044480,-0.0005,-0.0004,-0.0075,0.008
0.060509,0.0042,-0.0004,-0.0075,0.009
0.076630,-0.0006,-0.0051,-0.0075,0.009
0.093451,-0.0007,-0.0003,-0.0123,0.012
0.110468,-0.0007,-0.0004,-0.0123,0.012
0.127730,-0.0006,0.0044,-0.0027,0.005
0.145456,-0.0007,-0.0004,-0.0075,0.008
0.160384,-0.0006,0.0045,-0.0123,0.013
0.177038,0.0042,-0.0050,-0.0027,0.007
0.193770,0.0042,-0.0003,-0.0075,0.009
0.210531,-0.0055,-0.0003,-0.0075,0.009
0.228726,-0.0007,-0.0002,-0.0027,0.003
0.246358,-0.0007,0.0045,-0.0027,0.005
0.260690,-0.0007,-0.0003,-0.0123,0.012
0.277072,0.0042,-0.0002,-0.0075,0.009
0.294483,-0.0008,-0.0049,-0.0075,0.009
0.311762,-0.0007,-0.0002,-0.0075,0.008
0.327364,-0.0007,0.0045,-0.0075,0.009
0.344579,-0.0006,0.0045,-0.0123,0.013
0.361612,-0.0007,0.0046,-0.0075,0.009
0.378491,0.0042,-0.0002,-0.0075,0.009
0.394948,-0.0006,-0.0003,-0.0123,0.012
0.411886,0.0042,-0.0004,-0.0027,0.005
0.428040,-0.0005,-0.0004,-0.0027,0.003
0.445059,-0.0006,-0.0052,-0.0075,0.009
0.461613,-0.0006,-0.0053,-0.0027,0.006
0.478035,0.0042,-0.0005,-0.0075,0.009
0.494921,0.0042,0.0043,-0.0027,0.007
0.511408,-0.0006,-0.0052,-0.0075,0.009
0.530276,-0.0006,-0.0002,-0.0027,0.003
0.545667,0.0041,0.0046,-0.0027,0.007
0.562418,-0.0007,-0.0050,-0.0171,0.018
0.578754,-0.0007,-0.0002,-0.0027,0.003
0.595800,-0.0008,-0.0002,-0.0027,0.003
0.612490,-0.0007,0.0046,-0.0027,0.005
0.631381,-0.0007,-0.0002,-0.0123,0.012
0.645944,-0.0056,-0.0002,-0.0075,0.009
0.663022,-0.0008,-0.0049,-0.0027,0.006
0.679370,-0.0009,-0.0097,-0.0075,0.012
0.696164,-0.0010,-0.0050,-0.0075,0.009
0.714421,-0.0058,0.0046,-0.0075,0.011
0.729371,-0.0009,-0.0003,-0.0027,0.003
0.745759,-0.0009,0.0044,-0.0027,0.005
0.763837,-0.0009,-0.0005,-0.0075,0.008
0.779333,-0.0010,-0.0052,-0.0075,0.009
0.796654,-0.0009,-0.0005,-0.0027,0.003
0.813251,-0.0010,-0.0051,-0.0075,0.009
0.829627,-0.0011,-0.0004,-0.0075,0.008
0.846126,-0.0013,-0.0005,-0.0123,0.012
0.864455,-0.0014,-0.0052,-0.0027,0.006
0.879695,-0.0014,-0.0051,-0.0075,0.009
0.896537,0.0082,-0.0004,-0.0027,0.009
0.913359,-0.0013,0.0044,-0.0027,0.005
0.929870,0.0035,-0.0004,-0.0027,0.004
0.947127,-0.0013,-0.0005,-0.0075,0.008
0.964471,-0.0012,-0.0053,-0.0027,0.006
0.980292,-0.0013,-0.0053,-0.0123,0.013
0.996750,-0.0014,0.0001,0.0021,0.002
1.014143,-0.0014,-0.0052,-0.0027,0.006
1.030256,-0.0014,-0.0004,-0.0075,0.008
1.049480,-0.0013,-0.0052,-0.0027,0.006
1.064731,-0.0061,-0.0005,-0.0075,0.010
1.081215,-0.0013,-0.0054,-0.0123,0.013
1.098106,-0.0013,-0.0005,-0.0075,0.008
1.113805,-0.0013,-0.0046,-0.0027,0.006
1.130778,-0.0013,0.0001,-0.0027,0.003
1.147666,-0.0012,0.0049,-0.0081,0.010
